night,title,author,index_code
233,義理と人情,源了圓,6
234,ボッコちゃん,星新一,5
235,ベルサーチを殺った男,ウェンズレー・クラークソン,7
236,巻菱湖伝,春名好重,5
237,ペーパーバック大全,ピート・スフリューデルス,8
238,黒い雨,井伏鱒二,5
239,忘れられた日本人,宮本常一,6
240,朝倉文夫の青春,堀正三,5
241,薔薇の名前,ウンベルト・エーコ,5
242,犬のことば辞典,きたやまようこ,2
243,ムーン・パレス,ポール・オースター,5
244,笑うカイチュウ,藤田紘一郎,2
245,レイン・わが半生,Ｒ・Ｄ・レイン,2
246,オバタリアン,堀田かつひこ,7
247,蝸牛庵訪問記,小林勇,5
248,パンディモニアム,ハンフリー・ジェニングズ,3
249,世界毒舌大辞典,ジェローム・デュアメル,8
250,代表的日本人,内村鑑三,3
251,歴史哲学,ヴォルテール,6
252,狭い谷・黒い山,Ｃ・Ｗ・ツェーラム,6
253,アート・キッチュ・ジャパネスク,井上章一,7
254,無意識の意思の国アメリカ,薬師寺泰蔵,7
255,ゲルマン人の神々,ジョルジュ・デュメジル,6
256,放浪記,林芙美子,5
257,円の誕生,三上隆三,4
258,重力と恩寵,シモーヌ・ヴェイユ,3
259,赤光,斎藤茂吉,5
260,オーデン・わが読書,ウィスタン・オーデン,8
261,メソポタミア,ジャン・ボテロ,6
262,眼の哲学・利休伝ノート,青山二郎,5
263,気分の本質,オットー・ボルノウ,3
264,キムチとお新香,金両基,7
265,レベッカ,ダフネ・デュ・モーリア,5
266,ガンジー自伝,マハトマ・ガンジー,6
267,日本人の法意識,川島武宜,7
268,歌の本,ハインリッヒ・ハイネ,5
269,ある文人歴史家の軌跡,西山松之助,7
270,蜘蛛女のキス,マヌエル・プイグ,5
271,俺の考え,本田宗一郎,4
272,日本の名著・近代の思想,桑原武夫編,6
273,戦争論,カール・フォン・クラウゼヴィッツ,6
274,暗殺者,ロバート・ラドラム,5
275,禅への鍵,ティク・ナット・ハン,3
276,きものと心,武内俊子,7
277,虫の惑星,ハワード・エヴァンズ,2
278,回想録,テネシー・ウィリアムズ,5
279,速記と情報社会,兼子次生,8
280,開高健 青春の闇,向井敏,7
281,七つの資本主義,ハムデンターナー＆トロペンナールス,4
282,ヨーロッパの歴史的図書館,ヴィンフリート・レーシュブルク,8
283,日本の飛行機王・中島知久平,渡部一英,6
284,ご冗談でしょう、ファインマンさん,リチャード・ファインマン,1
285,和泉式部日記,和泉式部,5
286,ゴジラ生物学序説,サーフライダー21編,2
287,ボヴァリー夫人,ギュスターヴ・フローベール,5
288,秀十郎夜話,千谷道雄,5
289,砂の器,松本清張,5
290,ろくでもない生活,Ｐ・Ｊ・オローク,7
291,形而上学,アリストテレス,3
292,夢二のアメリカ,袖井林二郎,7
293,赤いおんどり,ミオドラーク・ブラトーヴィッチ,5
